year,team,strength_of_schedule
2013,Akron,-11.10
2013,Alabama,9.50
2013,Arizona,6.10
2013,Arizona St.,10.90
2013,Arkansas,2.60
2013,Arkansas St.,-8.00
2013,Army West Point,-10.90
2013,Auburn,10.90
2013,Ball St.,-10.80
2013,Baylor,7.90
2013,Boston College,-0.70
2013,Bowling Green,-6.30
2013,Buffalo,-8.90
2013,BYU,6.00
2013,California,0.80
2013,Central Mich.,-14.50
2013,Cincinnati,-6.00
2013,Clemson,7.10
2013,Colorado,-1.30
2013,Duke,0.90
2013,East Carolina,-6.40
2013,Eastern Mich.,-15.60
2013,FIU,-16.10
2013,Fla. Atlantic,-7.80
2013,Florida,6.20
2013,Florida St.,8.40
2013,Georgia,8.90
2013,Georgia Tech,4.40
2013,Houston,-0.80
2013,Idaho,-13.40
2013,Illinois,-1.40
2013,Indiana,1.60
2013,Iowa,3.30
2013,Iowa St.,1.40
2013,Kansas,-2.70
2013,Kansas St.,4.90
2013,Kent St.,-8.60
2013,Kentucky,0.20
2013,La.-Monroe,-8.70
2013,Louisiana,-1.00
2013,Louisiana Tech,-15.30
2013,Louisville,-3.20
2013,LSU,8.50
2013,Marshall,-7.00
2013,Maryland,-3.40
2013,Massachusetts,-1.00
2013,Memphis,-6.00
2013,Miami FL,2.20
2013,Miami OH,-12.20
2013,Michigan,3.10
2013,Michigan St.,4.40
2013,Middle Tenn.,-8.00
2013,Minnesota,-0.60
2013,Mississippi St.,7.20
2013,Missouri,8.40
2013,Navy,-3.90
2013,NC State,-4.60
2013,Nebraska,0.40
2013,New Mexico St.,-17.10
2013,North Carolina,1.40
2013,North Texas,-8.40
2013,Northern Ill.,-6.70
2013,Northwestern,0.60
2013,Notre Dame,5.50
2013,Ohio,-11.70
2013,Ohio St.,4.40
2013,Oklahoma,9.00
2013,Oklahoma St.,8.30
2013,Ole Miss,-1.00
2013,Oregon,10.10
2013,Oregon St.,6.40
2013,Penn St.,-0.20
2013,Pittsburgh,2.10
2013,Purdue,-2.90
2013,Rice,-6.40
2013,Rutgers,-5.30
2013,SMU,-13.40
2013,South Alabama,-9.40
2013,South Carolina,8.20
2013,South Fla.,-4.70
2013,Southern California,6.70
2013,Southern Miss.,-13.40
2013,Stanford,11.90
2013,Syracuse,-0.90
2013,TCU,5.50
2013,Temple,-6.10
2013,Tennessee,4.70
2013,Texas,8.40
2013,Texas A&M,7.80
2013,Texas St.,-14.50
2013,Texas Tech,4.80
2013,Toledo,-4.80
